name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Chicago,2006-01-01,6.9,-1.3,3.3,3.9,-4.7,0.1,-0.3,77.7,0.185,100,16.67,rain,0,0,,22.8,126.6,1009.8,84.7,12.8,,,,,2006-01-01T07:18:23,2006-01-01T16:30:08,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72534014819,72530594892,72212604879,72534804831,74466504838,72534714880,72534514834"
Chicago,2006-01-02,5.8,4.5,5.2,2.7,0.4,1.5,4.2,93.4,2.228,100,75,rain,0,0,50,26.7,57.2,1002.9,99.7,6.1,,,,,2006-01-02T07:18:27,2006-01-02T16:31:00,0.09,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72534014819,72530594892,72212604879,72534804831,74466504838,72534714880,72534514834"
Chicago,2006-01-03,5.5,3.8,4.6,4.8,-0.5,2,3.6,93.4,0.022,100,8.33,rain,0,0,,22.8,16.8,1012,99.6,5.7,,,,,2006-01-03T07:18:29,2006-01-03T16:31:54,0.13,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"72534014819,72530594892,72212604879,72534804831,74466504838,72534714880,72534514834"
Chicago,2006-01-04,6,2.2,4.6,3.7,-2.7,0.6,2.8,88.1,0.046,100,12.5,rain,0,0,50,29.3,260.6,1008,99.6,9.7,,,,,2006-01-04T07:18:29,2006-01-04T16:32:50,0.16,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"72534014819,72530594892,72212604879,72534804831,74466504838,72534714880,72534514834"
Chicago,2006-01-05,2.1,-0.7,1.3,-1.9,-6.4,-3.5,-2.8,74.5,0,0,0,,0,0,,28,334.4,1016.2,99.4,15.5,,,,,2006-01-05T07:18:26,2006-01-05T16:33:47,0.2,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,72530594892,72212604879,72534804831,74466504838,72534714880,72534514834"
Chicago,2006-01-06,-0.6,-2.2,-1.2,-4.2,-7.7,-6.3,-6.7,66.5,0,0,0,,0,0,,26.6,278.8,1018,97.3,15.5,,,,,2006-01-06T07:18:21,2006-01-06T16:34:45,0.25,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,72530594892,72212604879,72534804831,74466504838,72534714880,72534514834"
Chicago,2006-01-07,4.3,-1.8,0.9,0.6,-7.6,-3.1,-3.2,74.5,0,0,0,,0,0,,26.3,260.3,1007.7,73.9,14.3,,,,,2006-01-07T07:18:13,2006-01-07T16:35:46,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,72530594892,72212604879,72534804831,74466504838,72534714880,72534514834"
Chicago,2006-01-08,7,0.9,3.5,4.5,-4.1,-0.1,-1,72.3,0,0,0,,0,0,,26.1,85.1,1002.9,58.9,15,,,,,2006-01-08T07:18:04,2006-01-08T16:36:47,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,72530594892,72212604879,72534804831,74466504838,72534714880,72534514834"
Chicago,2006-01-09,4,1,2.3,0.2,-2.8,-1.4,-2.4,71.5,0,0,0,,0,0,,19.8,305.2,1021.4,98.9,15.1,,,,,2006-01-09T07:17:52,2006-01-09T16:37:50,0.34,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,72530594892,72212604879,72534804831,74466504838,72534714880,72534514834"
Chicago,2006-01-10,3.2,-3.5,0.7,0.7,-5.4,-1.6,-2.8,77.7,0.698,100,12.5,rain,0,0,,16.6,108.9,1023.7,80.5,10.9,,,,,2006-01-10T07:17:37,2006-01-10T16:38:54,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72534014819,72530594892,72212604879,72534804831,74466504838,72534714880,72534514834"
Chicago,2006-01-11,5.2,2.4,4,3.4,-2.1,0.5,2.5,89.8,2.146,100,37.5,rain,0,0,,28.3,200.5,1009.3,77,9.5,,,,,2006-01-11T07:17:20,2006-01-11T16:39:59,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72534014819,72530594892,72212604879,72534804831,74466504838,72534714880,72534514834"
Chicago,2006-01-12,13,2.8,7.4,13,-1.6,4.8,2.6,72.9,0,0,0,rain,0,0.1,,26.9,194.8,1005.3,39,15.7,,,,,2006-01-12T07:17:01,2006-01-12T16:41:05,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,72530594892,72212604879,74466504838,72534714880,72534514834"
Chicago,2006-01-13,8.9,0.1,3.7,6.6,-5.7,-0.4,1.9,88.1,20.058,100,66.67,"rain,snow",0,0.2,57.2,33.4,337.8,1003.3,95.6,7.9,,,,,2006-01-13T07:16:40,2006-01-13T16:42:12,0.48,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"72534014819,72530594892,72212604879,74466504838,72534714880,72534514834"
Chicago,2006-01-14,2,-1.2,0,-0.9,-7.2,-4.1,-6.7,61.2,0,0,0,,0,0,53.2,31.7,347.8,1018.4,66.9,16,,,,,2006-01-14T07:16:16,2006-01-14T16:43:21,0.5,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72534014819,72530594892,72212604879,74466504838,72534714880,72534514834"
Chicago,2006-01-15,5.8,-1.8,1.3,1.8,-7.3,-3.1,-4.3,66.9,0,0,0,,0,0,50,26.2,147.7,1012.3,65.1,15.9,,,,,2006-01-15T07:15:50,2006-01-15T16:44:30,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,72530594892,72212604879,74466504838,72534714880,72534514834"
Chicago,2006-01-16,7.2,0.6,4.1,4.7,-3.7,0.8,-0.9,70.4,0,0,0,,0,0,,18.6,136.3,1002,60.1,15.8,,,,,2006-01-16T07:15:22,2006-01-16T16:45:40,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,72530594892,72212604879,74466504838,72534714880,72534514834"
Chicago,2006-01-17,6.2,-2.8,1.1,4.7,-9.7,-3.7,-1.5,82.9,0.885,100,37.5,"rain,snow",0,0,,26.4,280.7,1000.1,99.6,9.1,,,,,2006-01-17T07:14:52,2006-01-17T16:46:51,0.61,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"72534014819,72530594892,72212604879,74466504838,72534714880,72534514834"
